Date_time,MeterID,Value,Energy_Units
01-04-2025 17:21,1,120242,1.1040000000066357
01-04-2025 17:22,1,120243.104,1.1040000000066357
01-04-2025 17:23,1,120244.096,0.9919999999983702
01-04-2025 17:24,1,120245.4,1.3039999999891734
01-04-2025 17:25,1,120246.304,0.9040000000095461
01-04-2025 17:21,2,85782.2,0.8079999999899883
01-04-2025 17:22,2,85783.024,0.8240000000077998
01-04-2025 17:23,2,85783.72,0.6959999999962747
01-04-2025 17:24,2,85784.632,0.912
01-04-2025 17:26,2,85786,1.368000000002212
01-04-2025 17:21,3,76975.352,0.32
01-04-2025 17:22,3,76975.616,0.2639999999955762
01-04-2025 17:23,3,76975.928,0.3120000000053551
01-04-2025 17:24,3,76976.272,0.34399999999732245
01-04-2025 17:25,3,76976.52,0.2480000000068685
01-04-2025 17:21,4,46799.84,0.3599999999933061
01-04-2025 17:22,4,46800.16,0.3200000000069849
01-04-2025 17:23,4,46800.52,0.3599999999933061
01-04-2025 17:24,4,46800.92,0.4000000000014552
01-04-2025 17:25,4,46801.232,0.3120000000053551
01-04-2025 17:25,14,86486.664,0
01-04-2025 17:21,23,70896.383,0.46899999999732245
01-04-2025 17:22,23,70896.828,0.445
01-04-2025 17:23,23,70897.273,0.4450000000069849
01-04-2025 17:24,23,70897.719,0.4459999999962747
01-04-2025 17:25,23,70898.18,0.46099999999569263
01-04-2025 17:21,24,55184.18,0.059999999997671694
01-04-2025 17:22,24,55184.24,0.059999999997671694
01-04-2025 17:23,24,55184.288,0.048
01-04-2025 17:24,24,55184.352,0.064
01-04-2025 17:25,24,55184.4,0.048
01-04-2025 17:21,26,702095.438,1.25
01-04-2025 17:22,26,702097.063,1.625
01-04-2025 17:24,26,702098.75,1.687000000034459
01-04-2025 17:26,26,702101.125,2.375
01-04-2025 17:21,27,887195.375,1.75
01-04-2025 17:22,27,887197.813,2.437999999965541
01-04-2025 17:24,27,887200.375,2.562000000034459
01-04-2025 17:26,27,887203.813,3.437999999965541
01-04-2025 17:21,28,30588.51,0.01
01-04-2025 17:22,28,30588.52,0.010000000002037268
01-04-2025 17:24,28,30588.53,0.01
01-04-2025 17:26,28,30588.55,0.020000000000436557
01-04-2025 17:21,29,974.621,0.002
01-04-2025 17:22,29,974.623,0.002
01-04-2025 17:23,29,974.668,0.045
01-04-2025 17:24,29,974.721,0.053
01-04-2025 17:25,29,974.772,0.051000000000044565
01-04-2025 17:21,30,9909.38,0.049999999999272404
01-04-2025 17:22,30,9909.433,0.053000000001702574
01-04-2025 17:23,30,9909.481,0.048
01-04-2025 17:24,30,9909.487,0.006
01-04-2025 17:25,30,9909.494,0.007
01-04-2025 17:21,31,285607.438,0.5
01-04-2025 17:22,31,285607.875,0.4369999999762513
01-04-2025 17:23,31,285608.313,0.4380000000237487
01-04-2025 17:24,31,285608.781,0.46799999999348074
01-04-2025 17:25,31,285609.188,0.40700000000651926
01-04-2025 17:21,32,5788.898,0.002
01-04-2025 17:22,32,5788.9,0.002
01-04-2025 17:23,32,5788.934,0.034
01-04-2025 17:24,32,5789.001,0.067
01-04-2025 17:25,32,5789.031,0.03
01-04-2025 17:21,33,56539.888,0.008
01-04-2025 17:22,33,56539.9,0.012000000002444722
01-04-2025 17:23,33,56539.92,0.02
01-04-2025 17:24,33,56539.94,0.020000000004074536
01-04-2025 17:25,33,56539.96,0.02
01-04-2025 17:21,34,7254.13,0.008
01-04-2025 17:22,34,7254.144,0.014000000000123691
01-04-2025 17:23,34,7254.158,0.014000000000123691
01-04-2025 17:24,34,7254.172,0.013999999999214197
01-04-2025 17:25,34,7254.187,0.015000000000327418
01-04-2025 17:21,35,36144.34,0.011999999995168764
01-04-2025 17:22,35,36144.352,0.012000000002444722
01-04-2025 17:23,35,36144.368,0.016
01-04-2025 17:24,35,36144.38,0.011999999995168764
01-04-2025 17:25,35,36144.4,0.020000000004074536
01-04-2025 17:21,36,265950.896,0.096
01-04-2025 17:22,36,265951.104,0.20799999998416752
01-04-2025 17:23,36,265951.2,0.096
